Project Name,Owner,Developer,TCAD ID,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C. of O. Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount,% of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178286243207499, -97.758349078989099)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.177916736487099, -97.7585636423496)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178348869598999, -97.7584653912091)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.177961232812599, -97.758676955195796)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1783988552937, -97.758579507927394)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178016110743801, -97.758775873123398)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1784426840089, -97.758722532274206)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178062787729701, -97.758912838182098)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178495604242102, -97.758837615688506)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178555837040399, -97.7589580125249)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178166523680801, -97.759119065465597)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178599553994299, -97.759095500468106)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178198169951099, -97.759236203280494)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178256217430199, -97.759355993424904)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/20/2009,11,10/20/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178355314590299, -97.759590075582807)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178308003280701, -97.759455722469198)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178384599455601, -97.759727947882496)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178413605589199, -97.759851962452004)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178430544831201, -97.759976330098695)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178452321275, -97.760100537317996)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009,10,10/19/2019,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178461946388101, -97.760219528393307)"
Austin Neighborhood Alliance for Habitat - SF,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78721,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/22/2013,10,03/22/2023,,,,,0,0,0,0,0,1,0,0,$62500.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.274318855732801, -97.687691015864203)"
Austin Neighborhood Alliance for Habitat - SF,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78721,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/22/2013,10,03/22/2023,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2742940946262, -97.687592149535604)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,07/29/2014,,,,,,,0,0,0,0,0,1,0,0,$525000.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.194889667835401, -97.755044263629003)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/15/2014,,,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.188332959875101, -97.753681386779405)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,09/12/2013,,,,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.1727726966006, -97.611785211783896)"
Austin Revitalization Authority - SF,Undisclosed,Austin Revitalization Authority,,Undisclosed,78702,1,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Affordability Period Expired,03/10/2010,1,03/10/2011,,,,,0,0,0,0,0,1,0,0,$120000.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.270221008109001, -97.729332839638005)"
Sheldon 230,KB Homes (a.k.a. KB Sheldon),KB Homes,,8101 Salt Springs Drive,78744,2,Very Low,1/4 Mile,910,364,Single Family,Developer Incentive,Ownership,Affordability Period Expired,,1,,06/05/2003,,,,0,0,0,0,0,364,0,546,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.158749199192801, -97.745490155016398)"
Baker Steet Subdivision,Flex Realty,Flex Realty,,5007 Baker Street,78721,1,Very Low,1/4 Mile,34,34,Single Family,Developer Incentive,Ownership,Project Cancelled,,1,,03/26/2004,,,,0,0,0,0,0,34,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.282637226416298, -97.678351732896104)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,06/28/2016,1,06/28/2017,02/25/2008,06/28/2016,,,0,0,0,0,0,1,0,0,$0.00,0%,Yes,No,No,No,No,No,Yes,No,No,No,"(30.265135724613199, -97.705255535964199)"
Thornbury Subdivion,KB Homes,KB Homes,,,78754,1,Very Low,1/4 Mile,485,194,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,12/31/1999,07/07/2010,,,,0,0,0,0,0,194,0,291,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3442658303276, -97.613909301900605)"
Gaston Place,Accessible Housing Austin!,Accessible Housing Austin!,,1920 Gaston Place Drive,78723,1,Very Low,1/4 Mile,27,27,Multifamily,RHDA,Rental,Project Certified / Loan Executed,,99,,05/21/2015,,,,0,0,27,0,0,0,0,0,$2192000.00,196.14%,No,No,No,No,No,No,Yes,No,No,No,"(30.313462024771301, -97.689690373649199)"
Monarch at Lakeline Station,Mgroup Holdings,Mgroup,,9821 N Lake Creek Parkway,78717,6,High,1/4 Mile,141,141,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/23/2015,,,,14,0,56,71,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.469745802441, -97.789239676320094)"
7th Street TOD,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,906 E 7th Street,78702,1,Very Low,1/4 Mile,6,6,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,10/04/2010,,,,0,0,0,6,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.266504764865498, -97.732626243238997)"
Streetman Homes (RMMA Section 6),Streetman Homes,Streetman Homes,,2445 Robert Browning Street,78723,9,Very Low,1/4 Mile,95,24,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,02/13/2013,1,02/13/2014,07/15/2012,02/13/2013,,,0,0,0,0,0,24,0,71,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298408045347301, -97.697879355672697)"
David Weekly Homes (RMMA Section 6),David Weekly Homes,David Weekly Homes,,1830 McBee Street,78723,9,Moderate,1/4 Mile,73,18,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,03/05/2014,1,03/05/2015,07/06/2012,03/05/2014,,,0,0,0,0,0,18,0,55,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298209159868701, -97.704181428756897)"
The Point at Ben White,Ben White Senior Development LP,Ben White Senior Development LP,,6934 E Ben White Boulevard,78741,3,Very Low,1/2 Mile,250,250,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,02/26/2016,5,02/26/2021,09/21/2012,02/26/2016,,,0,0,0,0,0,250,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.216318028295799, -97.703583009755704)"
Villages at Ben White,Ben White Senior Development LP,Ben White Senior Development LP,,7016 E Ben White Boulevard,78741,3,Low,1/4 Mile,183,183,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,09/21/2012,,,,0,0,0,183,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2158612511363, -97.701173845317001)"
Parmer Place Apartments,"Pedcor Investments 2012-CXXX, LP","Pedcor Investments 2012-CXXX, LP",,1500 Parmer Lane,78727,7,Very Low,1/4 Mile,332,332,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/06/2016,5,10/06/2021,07/17/2013,10/06/2016,,,0,0,0,332,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3904719905596, -97.651732367058599)"
William Cannon Apartments,"Pedcor Investments 2012-CXXX, LP","Pedcor Investments 2012-CXXX, LP",,2112 William Cannon Drive,78744,2,Very Low,1/4 Mile,252,252,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,01/08/2016,5,01/08/2021,09/21/2012,01/08/2016,,,0,0,0,252,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1878667909073, -97.761317896230295)"
Rental - SF,Virginia Webb,"Virginia Webb, Owner",,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Project Complete / Final C.of O. Received,07/31/2013,5,07/31/2014,01/08/2013,07/31/2013,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.256378415410001, -97.727952586253593)"
Thornton Lane Apartments,PSW Real Estate,PSW Real Estate,,2501 Thornton Road,78704,5,Low,1/2 Mile,105,11,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,07/16/2013,,,,0,0,0,11,0,0,0,94,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2430961658273, -97.772772328309202)"
East 12th Street Homes,"Butler Family Interests, LLP",Butler Family Interests LLP,,Undisclosed,78702,1,Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,07/13/2015,40,07/13/1955,01/18/2013,07/27/2015,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.272138000000002, -97.728742999999994)"
Merritt Lake Line Station,"DDC Merritt Lake Line Station, Ltd.",DDC Merritt Lake Line Station,,1350 Sonny Drive,78641,7,Very High,Neither,210,106,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/27/2014,,,,0,0,0,106,0,0,0,104,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.4780632193571, -97.851218203332493)"
Mueller I-C Phase I,"Standard Pacific of Texas, LP",CalAtlantic Homes,,2811 Zach Scott Street,78723,9,Moderate,1/4 Mile,103,26,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,05/26/2015,1,05/26/2016,01/30/2014,05/26/2015,,,0,0,0,0,0,26,0,77,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.300126860682202, -97.701886446846601)"
Frontier at Montana,Undisclosed,American Youthworks,,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,11/02/2009,10,11/02/2019,02/21/2007,10/02/2009,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.230460530704399, -97.690811546256398)"
Guadalupe Neighborhood Development Corporation - Duplex,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,Undisclosed,78702,3,Very Low,1/4 Mile,2,2,Duplex,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,02/03/2014,,,,0,0,2,0,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.262286394, -97.708352138999999)"
Springdale Apartments,Ryan Companies US Inc.,Ryan Companies US INC.,,5605 Springdale Road,78723,1,Very Low,1/4 Mile,292,292,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,07/31/2014,,,,0,0,0,292,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2989810707065, -97.673889893160705)"
RMMA VII-C Phase I,"Standard Pacific of Texas, L.P.",Standard Pacific of Texas,,4200 Nitchke Street,78723,9,Moderate,1/2 Mile,46,13,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,08/20/2015,,,,0,0,0,0,0,13,0,33,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.293997723204399, -97.706929664948305)"
Muskin Company (RMMA),Muskin Company,Muskin Company,,3012 Tom Miller Street,78723,9,Moderate,1/4 Mile,3,1,Multifamily,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,08/12/2015,1,08/12/2016,09/23/2014,08/12/2015,,,0,0,0,0,0,1,0,2,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.290589298728001, -97.696854536491102)"
Burnet Road Development,"Fremont Holdings, LLC",Freemont Holdings,,8528 Burnet Road,78757,7,Moderate,1/4 Mile,300,45,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,10,,11/04/2014,,,,0,0,0,0,0,45,0,255,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.367433533287301, -97.728440651222201)"
1817 W 10th Street,Clarskville Community Development Corporation,Clarksville Community Development Corporation,,1817 W 10th Street,78703,9,High,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Certified / Loan Executed,,5,,11/20/2014,,,,0,0,1,0,0,0,0,0,$108200.00,319.13%,No,No,No,No,No,No,Yes,No,No,No,"(30.281334025354301, -97.765119597022107)"
Harris Branch Senior Apartments,"LDG Multifamily, LLC",LDG Multifamily LLC,,12331 Dessau Road,78754,1,Moderate,Neither,216,216,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,12/12/2008,5,12/12/2013,11/24/2014,,,,0,0,0,216,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.388806594124201, -97.644881914426804)"
Urban Oaks,Ryan Companies US Inc.,Ryan Companies,512307,6725 Circle S Road,78745,2,Very Low,1/4 Mile,194,194,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,01/15/2015,,,,0,0,0,194,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.190844537097799, -97.7778564092322)"
LaMadrid Apartments,LaMadrid Apartments LLC,LaMadrid Apartments LLC,,11320 Manchaca Road,78748,,Moderate,Neither,95,83,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,,5,,01/26/2015,,,,9,0,34,40,0,0,0,12,$2700000.00,633.49%,No,No,No,No,No,No,Yes,No,No,No,"(30.165900136628899, -97.828357648547495)"
Cardinal Point Apartments,"Foundation Communities, Inc.","Foundation Communities, Inc.",,11015 Four Points Drive,78730,6,High,Neither,120,120,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,,5,,01/28/2015,,,,12,0,60,48,0,0,0,0,$2575000.00,948.58%,No,No,No,No,No,No,Yes,No,No,No,"(30.3990768259772, -97.8457707088684)"
Merritt Cornerstone Apartments,DDC Merritt Cornerstone Ltd.,DDC Merritt Cornerstone LTD,,4500 W Howard Lane,78728,7,Moderate,Neither,200,104,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,02/09/2015,,,,13,0,50,41,0,0,0,96,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.445192184226901, -97.709328648215603)"
Azul 620,"Austin DMA Housing II, LLC",Austin DMA Housing II,,11411 N Ranch Road 620,78726,6,Very High,Neither,120,110,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/29/2015,,,,11,0,44,55,0,0,0,10,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.451620999999999, -97.825747000000007)"
Linden Lots,Austin Housing Finance Corporation,American Youthworks,,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,5,,02/18/2015,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.265681568809399, -97.705045372372993)"
Garden Homes (RMMA),Muskin Company,Muskin Company,,2601 Zach Scott Street,78723,9,Moderate,1/2 Mile,6,2,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,05/02/2016,1,05/02/2017,03/16/2015,05/02/2016,,,0,0,0,0,0,2,0,4,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.293979532293999, -97.706382930763894)"
Tillery Street Homes (RMMA),Muskin Company,Muskin Company,,3808 Tillery Street,78723,3,Very Low,1/4 Mile,4,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,,1,03/04/2017,03/16/2015,,,,0,0,0,0,0,1,0,3,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.286905000000001, -97.702551)"
Texan West Campus,Unknown,American Campus Communities,,2616 Salado Street,78705,9,Very Low,1/4 Mile,62,7,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,09/02/2005,15,09/02/2020,,09/02/2005,$37824.00,06/19/2005 12:00:00 AM,0,0,0,0,0,7,0,55,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.292272000000001, -97.745467000000005)"
Quarters at Sterling,"West Campus Partners III, LP","West Campus Partners III, LP",,709 W 22nd Street,78705,9,Very Low,1/4 Mile,100,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,08/15/2006,15,08/15/2021,,08/15/2006,$45692.00,06/19/2005 12:00:00 AM,0,0,0,0,0,10,0,90,$0.00,0%,No,No,No,No,No,No,No,No,Yes,No,"(30.284986212215699, -97.7459643960633)"
Texan Tower,2505 San Gabriel Ltd.,2505 San Gabriel Ltd.,,2505 San Gabriel Street,78705,9,High,1/4 Mile,74,7,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/12/2008,15,11/12/2023,02/22/2005,11/07/2008,$37964.00,03/09/2007 12:00:00 AM,0,0,0,0,0,7,0,67,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290108802875199, -97.7473990250448)"
Spire,Spire East 5th LP,Spire East 5th LLC,191815,501 Waller Street,78702,3,Very Low,1/4 Mile,264,66,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,02/24/2015,,,,13,26,27,0,0,0,0,198,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2635057530062, -97.730774344721993)"
Block on Pearl South,"Pearl Block, L.P. & Delaware Ltd. Partnership","Pearl Block, L.P. & Delware Ltd. Partnership",,900 W 22nd Street,78705,9,High,1/4 Mile,49,5,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/17/2008,15,12/17/2023,03/31/2006,12/15/2008,$22948.00,08/15/2008 12:00:00 AM,0,0,0,0,0,5,0,44,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2856298709677, -97.746709470294505)"
Block on 28th,CWS Capital Partners LLC,CWS Capital Partners LLC,,701 W 28th Street,78705,9,Very High,1/4 Mile,100,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/06/2008,15,11/06/2023,02/23/2006,11/06/2008,$48450.00,08/15/2007 12:00:00 AM,0,0,0,0,0,10,0,90,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.293277360824401, -97.744633206393502)"
Quarters at Grayson,Simmons Vedder & Company,Simmons Vedder & Company,,714 W 22nd Street,78705,9,High,1/4 Mile,100,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/23/2008,15,10/23/2023,09/01/2005,10/28/2008,$47890.00,08/05/2008 12:00:00 AM,0,0,0,0,0,10,0,90,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2855074737524, -97.746308531698105)"
Quarters at Nueces House,Simmons Vedder & Company,Simmons Vedder & Company,,2300 Nueces Street,78705,9,Very High,1/4 Mile,232,23,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/28/2008,15,10/28/2023,09/01/2005,10/28/2008,$111106.00,08/05/2008 12:00:00 AM,0,0,0,0,0,23,0,209,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286791765767902, -97.743904479342305)"
Block on 25th West,CWS Capital Partners LLC,CWS Capital Partners LLC,,2501 Pearl Street,78705,9,High,1/4 Mile,80,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/10/2008,15,10/10/2023,04/07/2006,10/10/2008,$38896.00,08/15/2008 12:00:00 AM,0,0,0,0,0,8,0,72,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289584554535299, -97.746225400629896)"
Karnes House (fka University Garden Apartments),Simmons Vedder & Company,Simmons Vedder & Company,834304,2222 Rio Grande Street,78705,9,High,1/4 Mile,12,1,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/17/2008,15,11/17/2023,08/25/2005,11/17/2008,$5746.00,08/05/2008 12:00:00 AM,0,0,0,0,0,1,0,11,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286853363314702, -97.745011217239494)"
Texas Shoal Creek,"Texan Shoal Creek, LLC","Texan Shoal Creek, LLC",206058,2502 Leon Street,78705,9,Very High,1/4 Mile,79,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/31/2008,15,12/31/2023,04/07/2006,12/31/2008,$36407.00,05/15/2008 12:00:00 AM,0,0,0,0,0,8,0,71,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289850575853102, -97.749459610876499)"
